uređena uređena,uređena neuređena,neuređena uređena,neuređena neuređena,duzina
0.0,0.0,69.7917,30.2083,5
0.0,0.0,69.1505,29.5082,6
0.0,0.0,69.8507,30.1493,7
0.5979,0.0,68.6099,29.4469,8
0.7485,0.0,69.1617,30.0898,9
1.6492,0.0,67.6162,29.3853,10
2.8529,0.0,67.1171,30.03,11
3.0075,0.0,66.3158,29.3233,12
4.2169,0.0,65.8133,29.9699,13
4.0724,0.0,65.3092,29.2609,14
5.7402,0.0,64.3505,29.9094,15
7.2617,0.0,62.1785,29.1982,16
8.4848,0.0,61.6667,29.8485,17
10.3187,0.0,59.1806,29.1351,18
13.0699,0.0,57.1429,29.7872,19
13.5464,0.0,56.0122,29.0715,20
16.311,0.0,53.9634,29.7256,21
17.5573,0.0,52.0611,29.0076,22
19.419,0.0,50.9174,29.6636,23
20.5207,0.0,49.1577,28.9433,24
22.6994,0.0,47.6994,29.6012,25
23.1951,0.0,46.5438,25.3456,26
26.4615,0.0,47.8462,25.6923,27
26.5023,0.0,47.4576,25.4237,28
30.4012,0.0,43.8272,25.7716,29
32.1484,0.0,41.7311,25.5023,30
35.7585,0.0,38.3901,25.8514,31
36.8992,0.0,34.8837,25.5814,32
39.9068,0.0,32.1429,27.9503,33
41.2131,0.0,30.4821,27.6827,34
43.4579,0.0,28.5047,28.0374,35
43.9938,0.0,24.961,27.7691,36
45.9375,0.0,23.125,30.9375,37
46.1659,0.0,22.6917,30.8294,38
48.5893,0.0,20.3762,31.0345,39
48.9796,0.0,19.7802,30.9262,40
50.1572,0.0,18.7107,31.1321,41
50.3937,0.0,18.2677,31.0236,42
51.5773,0.0,17.1924,31.2303,43
51.3428,0.0,17.2196,31.1216,44
52.057,0.0,16.6139,31.3291,45
51.0301,0.0,17.4326,31.2203,46
52.381,0.0,16.1905,31.4286,47
51.5103,0.0,16.8521,31.3196,48
52.2293,0.0,16.242,31.5287,49
51.1962,0.0,17.0654,31.4195,50
51.9169,0.0,16.4537,31.6294,51
51.84,0.0,16.32,31.52,52
52.7244,0.0,15.5449,31.7308,53
52.3274,0.0,15.7303,31.6212,54
53.0547,0.0,15.1125,31.8328,55
51.6908,0.0,16.2641,31.723,56
52.4194,0.0,15.6452,31.9355,57
50.8885,0.0,16.9628,31.8255,58
51.6181,0.0,16.343,32.0388,59
51.2156,0.0,16.5316,31.9287,60
51.9481,0.0,15.9091,32.1429,61
52.6829,0.0,14.9593,32.0325,62
53.4202,0.0,14.3322,32.2476,63
53.9967,0.0,13.54,32.137,64
54.5752,0.0,13.0719,32.3529,65
54.5008,0.0,12.9296,32.2422,66
54.7541,0.0,12.7869,32.459,67
55.1724,0.0,12.1511,32.3481,68
56.0855,0.0,11.3487,32.5658,69
56.1779,0.0,11.0379,32.4547,70
57.0957,0.0,10.231,32.6733,71
56.6942,0.0,10.4132,32.562,72
57.7815,0.0,9.4371,32.7815,73
58.0431,0.0,8.9552,32.67,74
59.3023,0.0,7.8073,32.8904,75
59.0682,0.0,7.8203,32.7787,76
60.3333,0.0,6.6667,33.0,77
60.601,0.0,6.177,32.8881,78
60.8696,0.0,6.0201,33.1104,79
60.9715,0.0,5.6951,32.9983,80
61.2416,0.0,5.5369,33.2215,81
60.6723,0.0,5.8824,33.1092,82
60.9428,0.0,5.7239,33.3333,83
60.8769,0.0,5.5649,33.2209,84
61.1486,0.0,5.4054,33.4459,85
59.3909,0.0,6.9374,33.3333,86
59.8305,0.0,6.6102,33.5593,87
58.9134,0.0,7.3005,33.4465,88
59.1837,0.0,7.1429,33.6735,89
59.1141,0.0,6.9847,33.5605,90
59.3857,0.0,6.8259,33.7884,91
59.3162,0.0,6.6667,33.6752,92
59.589,0.0,6.5068,33.9041,93
59.3482,0.0,6.518,33.7907,94
59.622,0.0,6.3574,34.0206,95
59.7246,0.0,6.0241,33.9071,96
60.1724,0.0,5.6897,34.1379,97
60.2763,0.0,5.3541,34.0242,98
60.5536,0.0,5.1903,34.2561,99
60.6586,0.0,4.8527,34.1421,100
